weight,tag,lon,lat,x,y,col,row,loss,gain,esta,loss_rg,gain_rg,name_ID
0.966116614,9,105.136,14.61205,105.136,14.61205,4328,2917,None,None,100,None,None,126
0.966116614,9,104.74225,14.5788,104.74225,14.5788,2753,3050,None,None,100,None,None,127
0.966116614,9,105.90075,14.5763,105.90075,14.5763,7387,3060,None,None,0,None,None,128
0.966116614,9,104.9395,14.5738,104.9395,14.5738,3542,3070,None,None,100,None,None,129
0.966116614,9,106.24025,14.5553,106.24025,14.5553,8745,3144,None,None,0,None,None,130
0.966116614,9,105.91975,14.54105,105.91975,14.54105,7463,3201,None,None,0,None,None,131
0.966116614,9,105.934,14.5348,105.934,14.5348,7520,3226,None,None,0,None,None,132
0.966116614,9,106.1305,14.4958,106.1305,14.4958,8306,3382,None,None,0,None,None,133
0.966116614,9,105.32925,14.47355,105.32925,14.47355,5101,3471,None,None,0,None,None,134
0.966116614,9,106.19875,14.4463,106.19875,14.4463,8579,3580,None,None,0,None,None,135
0.966116614,9,106.15775,14.41755,106.15775,14.41755,8415,3695,None,None,0,None,None,136
0.966116614,9,104.7155,14.4118,104.7155,14.4118,2646,3718,None,None,0,None,None,137
0.966116614,9,106.11725,14.41055,106.11725,14.41055,8253,3723,None,None,0,None,None,138
0.966116614,9,104.64125,14.37955,104.64125,14.37955,2349,3847,None,None,100,None,2013,139
0.966116614,9,105.019,14.36705,105.019,14.36705,3860,3897,None,None,0,None,None,140
0.966116614,9,105.0265,14.3143,105.0265,14.3143,3890,4108,None,None,0,None,None,141
0.966116614,9,105.9915,14.2993,105.9915,14.2993,7750,4168,None,46,36,None,None,142
0.966116614,9,105.3815,14.2843,105.3815,14.2843,5310,4228,None,None,0,None,None,143
0.966116614,9,105.852,14.2603,105.852,14.2603,7192,4324,None,None,100,None,None,144
0.966116614,9,105.63175,14.24005,105.63175,14.24005,6311,4405,None,None,0,None,None,145
0.966116614,9,104.63975,14.1918,104.63975,14.1918,2343,4598,None,None,100,None,None,146
0.966116614,9,105.1625,14.1868,105.1625,14.1868,4434,4618,None,None,100,None,None,147
0.966116614,9,106.09475,14.1548,106.09475,14.1548,8163,4746,None,None,0,None,None,148
0.966116614,9,104.63225,14.14955,104.63225,14.14955,2313,4767,None,None,100,None,None,149
0.966116614,9,105.1025,14.12805,105.1025,14.12805,4194,4853,None,None,100,None,None,150
0.966116614,9,104.58825,14.11105,104.58825,14.11105,2137,4921,37,41,36,None,None,151
0.966116614,9,104.68975,14.1013,104.68975,14.1013,2543,4960,None,None,100,None,None,152
0.966116614,9,105.4385,14.09705,105.4385,14.09705,5538,4977,None,None,0,None,None,153
0.966116614,9,106.03625,14.01205,106.03625,14.01205,7929,5317,None,None,0,None,None,154
0.966116614,9,105.24825,13.9978,105.24825,13.9978,4777,5374,None,None,0,None,None,155
0.966116614,9,105.80775,13.9758,105.80775,13.9758,7015,5462,None,None,40,None,None,156
0.966116614,9,106.0575,13.8893,106.0575,13.8893,8014,5808,None,None,100,2004,None,157
0.966116614,9,104.428,13.8808,104.428,13.8808,1496,5842,44,None,100,2015,None,158
0.966116614,9,105.26775,13.86505,105.26775,13.86505,4855,5905,None,None,0,None,None,159
0.966116614,9,104.8275,13.8383,104.8275,13.8383,3094,6012,None,None,100,None,None,160
0.966116614,9,104.6115,13.8003,104.6115,13.8003,2230,6164,None,None,100,None,None,161
0.966116614,9,105.50075,13.7403,105.50075,13.7403,5787,6404,None,None,0,None,None,162
0.966116614,9,105.1105,13.72505,105.1105,13.72505,4226,6465,None,None,100,None,None,163
0.966116614,9,106.0225,13.72255,106.0225,13.72255,7874,6475,None,None,0,1988,None,164
0.966116614,9,104.446,13.7218,104.446,13.7218,1568,6478,None,None,100,2010,None,165
0.966116614,9,104.4285,13.67305,104.4285,13.67305,1498,6673,None,None,100,None,None,166
0.966116614,9,105.38975,13.65055,105.38975,13.65055,5343,6763,None,None,0,None,None,167
0.966116614,9,104.928,13.6118,104.928,13.6118,3496,6918,None,None,100,None,None,168
0.966116614,9,105.05525,13.60605,105.05525,13.60605,4005,6941,None,None,100,None,None,169
0.966116614,9,105.12025,13.5668,105.12025,13.5668,4265,7098,44,None,100,2014,None,170
0.966116614,9,104.90875,13.5458,104.90875,13.5458,3419,7182,None,None,100,None,None,171
0.966116614,9,105.2575,13.5458,105.2575,13.5458,4814,7182,None,None,100,None,None,172
0.966116614,9,106.0455,13.53205,106.0455,13.53205,7966,7237,None,None,100,None,None,173
0.966116614,9,104.58625,13.4948,104.58625,13.4948,2129,7386,35,43,43,2005,2013,174
0.966116614,9,105.47275,13.3923,105.47275,13.3923,5675,7796,None,None,0,None,None,175
0.966116614,9,105.4675,13.36305,105.4675,13.36305,5654,7913,None,None,0,None,None,176
0.966116614,9,105.9705,13.32455,105.9705,13.32455,7666,8067,None,None,100,None,2013,177
0.966116614,9,105.5315,13.29305,105.5315,13.29305,5910,8193,None,None,0,None,None,178
0.966116614,9,105.9845,13.27255,105.9845,13.27255,7722,8275,30,41,41,2000,2013,179
0.966116614,9,105.05475,13.25155,105.05475,13.25155,4003,8359,49,None,48,2019,None,180
0.966116614,9,105.47325,13.22505,105.47325,13.22505,5677,8465,None,None,0,None,None,181
0.966116614,9,105.74275,13.2038,105.74275,13.2038,6755,8550,None,None,0,None,None,182
0.966116614,9,104.379,13.1313,104.379,13.1313,1300,8840,None,None,100,None,None,183
0.966116614,9,105.92025,13.08205,105.92025,13.08205,7465,9037,None,None,0,None,None,184
0.966116614,9,104.74475,13.0368,104.74475,13.0368,2763,9218,None,None,100,None,None,185
0.966116614,9,105.436,13.0293,105.436,13.0293,5528,9248,39,46,46,2009,2014,186
0.966116614,9,105.4235,13.0258,105.4235,13.0258,5478,9262,44,None,100,2013,None,187
0.966116614,9,104.75375,13.0083,104.75375,13.0083,2799,9332,None,None,100,None,None,188
0.966116614,9,105.81275,13.0048,105.81275,13.0048,7035,9346,None,None,0,None,None,189
0.966116614,9,105.54675,12.98805,105.54675,12.98805,5971,9413,None,None,0,None,None,190
0.966116614,9,105.641,12.96255,105.641,12.96255,6348,9515,None,None,0,None,None,191
0.966116614,9,105.4905,12.90205,105.4905,12.90205,5746,9757,42,None,100,2018,None,192
0.966116614,9,105.23175,12.8998,105.23175,12.8998,4711,9766,45,46,37,2015,2016,193
0.966116614,9,104.74525,12.7498,104.74525,12.7498,2765,10366,None,None,100,None,None,194
0.966116614,9,105.37725,12.65155,105.37725,12.65155,5293,10759,43,None,100,2013,None,195
0.966116614,9,105.285,12.4313,105.285,12.4313,4924,11640,None,None,100,None,None,196
0.966116614,9,104.45825,12.4078,104.45825,12.4078,1617,11734,None,None,100,None,None,197
0.966116614,9,105.126,12.32555,105.126,12.32555,4288,12063,None,None,100,None,None,198
0.966116614,9,104.9075,12.28555,104.9075,12.28555,3414,12223,None,None,100,None,None,199
0.966116614,9,105.71975,12.28105,105.71975,12.28105,6663,12241,None,None,100,None,None,200
